text,sentiment
better,positive
tough,negative
dull,negative
drag,negative
weak,negative
drop,negative
toll,negative
uncertain,negative
abolish,negative
abort,negative
abrupt,negative
abscond,negative
absurd,negative
abyss,negative
accost,negative
acrid,negative
addict,negative
admonish,negative
afflict,negative
affront,negative
afraid,negative
aggressor,negative
aghast,negative
ail,negative
ailment,negative
alarm,negative
aloof,negative
ambush,negative
anger,negative
anguish,negative
annoy,negative
antagonist,negative
anxious,negative
apologist,negative
appal,negative
arduous,negative
arrogant,negative
assail,negative
assassin,negative
assault,negative
attack,negative
authoritarian,negative
autocrat,negative
awkward,negative
ax,negative
backward,negative
backwood,negative
bad,negative
bait,negative
balk,negative
banal,negative
banish,negative
bankrupt,negative
barbarian,negative
barren,negative
baseless,negative
bash,negative
bastard,negative
bedlam,negative
beg,negative
bent,negative
bereft,negative
berserk,negative
beseech,negative
besmirch,negative
betray,negative
bewail,negative
bewilder,negative
bias,negative
bicker,negative
bitch,negative
bitter,negative
blackmail,negative
blah,negative
blame,negative
bland,negative
blatant,negative
blather,negative
bleak,negative
bleed,negative
blemish,negative
blind,negative
blister,negative
blow,negative
blunder,negative
blunt,negative
blur,negative
blurt,negative
bogus,negative
boil,negative
bomb,negative
bombard,negative
bore,negative
boredom,negative
bother,negative
boycott,negative
brainwash,negative
brash,negative
brat,negative
brazen,negative
breach,negative
break,negative
breakdown,negative
breakup,negative
broke,negative
broken,negative
brood,negative
browbeat,negative
brutal,negative
brute,negative
bs,negative
bug,negative
bullshit,negative
bump,negative
bunk,negative
burden,negative
burn,negative
bust,negative
butcher,negative
callous,negative
cancer,negative
careless,negative
carp,negative
cataclysm,negative
caustic,negative
cave,negative
chaff,negative
chagrin,negative
chaotic,negative
cheap,negative
cheat,negative
cheater,negative
childish,negative
chill,negative
choke,negative
chore,negative
chronic,negative
clamor,negative
clash,negative
clog,negative
cloud,negative
clueless,negative
coercion,negative
cold,negative
complain,negative
complaint,negative
complex,negative
complicit,negative
concern,negative
condemn,negative
condescend,negative
confess,negative
conflict,negative
confound,negative
confront,negative
contempt,negative
contend,negative
contort,negative
contradict,negative
corrupt,negative
coward,negative
crack,negative
cramp,negative
crap,negative
crash,negative
crass,negative
craven,negative
craze,negative
creep,negative
crime,negative
critic,negative
cronyism,negative
crook,negative
crude,negative
cruel,negative
crueler,negative
cruelest,negative
crush,negative
culprit,negative
cunt,negative
curt,negative
cuss,negative
cutthroat,negative
damn,negative
damper,negative
danger,negative
dark,negative
darken,negative
darker,negative
dastard,negative
daunt,negative
dead,negative
deadbeat,negative
deadlock,negative
deaf,negative
dearth,negative
death,negative
debt,negative
decay,negative
deceit,negative
defect,negative
defiant,negative
deform,negative
defunct,negative
deject,negative
delay,negative
delirium,negative
delusion,negative
demean,negative
demolish,negative
demon,negative
denial,negative
dent,negative
depress,negative
desert,negative
despair,negative
despot,negative
destroy,negative
deter,negative
detract,negative
detriment,negative
devil,negative
devious,negative
devoid,negative
dick,negative
die,negative
difficult,negative
dilemma,negative
dim,negative
din,negative
ding,negative
dire,negative
dirt,negative
disaffect,negative
disallow,negative
disappoint,negative
disarm,negative
disarray,negative
disavow,negative
disbelief,negative
disclaim,negative
discomfort,negative
discord,negative
discredit,negative
disdain,negative
disfavor,negative
disgust,negative
dishearten,negative
dishonest,negative
